frame_id,time_s,bbox_interpolated,status,u,v,left,right,top,bottom,valid_points,used_points,original_x1,original_y1,original_x2,original_y2,bbox_x1,bbox_y1,bbox_x2,bbox_y2,raw_X_m,raw_Y_m,raw_Z_m,filtered_X_m,filtered_Y_m,filtered_Z_m,raw_ego_x_m,raw_ego_y_m,ego_x_m,ego_y_m
0,0.0,False,ok,388,470,383,394,465,476,121,121,378.0,446.0,398.0,494.0,378.0,446.0,398.0,494.0,35.97802734375,15.475836753845215,3.810872793197632,35.97802734375,15.475836753845215,3.810872793197632,-39.16529043399639,-9.08484446423771e-16,-39.16529043399639,-9.08484446423771e-16
1,0.03333333333333333,False,ok,388,470,383,394,465,476,117,110,377.0,446.0,398.0,495.0,377.0,446.0,398.0,495.0,35.256919860839844,15.147212982177734,3.727877140045166,35.586753368377686,15.32210910320282,3.7594090402126312,-38.37301359300178,0.01694085114683997,-38.74511405771061,-0.013391310131386395
2,0.06666666666666667,False,ok,386,470,381,392,465,476,121,110,375.0,445.0,397.0,495.0,375.0,445.0,397.0,495.0,35.53085708618164,15.300148010253906,3.7520570755004883,35.75444221496582,15.38799238204956,3.78146493434906,-38.68508886109836,-0.015304354435869782,-38.92518964754737,-0.0076521772179344565
3,0.1,True,outlier,384,469,379,390,464,475,121,118,0.0,0.0,0.0,0.0,373.25,444.0,395.25,494.75,36.670257568359375,15.851432800292969,3.910618543624878,,,,-39.9496007431756,-0.07150113904781859,,
4,0.13333333333333333,True,ok,382,469,377,388,464,475,121,121,0.0,0.0,0.0,0.0,371.5,443.0,393.5,494.5,36.00619888305664,15.604039192199707,3.850109577178955,35.76852798461914,15.452093601226807,3.8010833263397217,-39.24182749999774,-0.10663760291214339,-38.96345818054805,-0.0609709786740057
5,0.16666666666666666,True,outlier,381,468,376,387,463,474,121,119,0.0,0.0,0.0,0.0,369.75,442.0,391.75,494.25,34.205528259277344,14.883374214172363,3.6774396896362305,,,,-37.30293033743086,-0.15614011685799575,,
6,0.2,False,outlier,379,468,374,385,463,474,121,118,368.0,441.0,390.0,494.0,368.0,441.0,390.0,494.0,34.71654510498047,15.114789962768555,3.7052268981933594,,,,-37.86380273622966,-0.1667992705008162,,
7,0.23333333333333334,False,ok,378,467,373,384,462,473,121,121,368.0,441.0,389.0,493.0,368.0,441.0,389.0,493.0,34.576202392578125,15.086188316345215,3.7057852745056152,34.576202392578125,15.086188316345215,3.7057852745056152,-37.72357938299036,-0.19598046836685462,-37.72357938299036,-0.19598046836685462
8,0.26666666666666666,False,outlier,377,467,372,383,462,473,121,119,366.0,441.0,388.0,493.0,366.0,441.0,388.0,493.0,36.113372802734375,15.846017837524414,3.894503355026245,,,,-39.43589546531702,-0.28657519956472216,,
9,0.3,False,outlier,376,468,371,382,463,474,119,111,365.0,441.0,387.0,494.0,365.0,441.0,387.0,494.0,36.0104866027832,15.822722434997559,3.845564603805542,,,,-39.33217713930066,-0.30583019288192603,,
10,0.3333333333333333,False,ok,374,468,369,380,463,474,121,115,362.0,442.0,385.0,494.0,362.0,442.0,385.0,494.0,34.47330856323242,15.174318313598633,3.710677146911621,34.47273826599121,15.244558334350586,3.7270678281784058,-37.66388286269945,-0.3175961005794455,-37.69111373251268,-0.382345351412123
